atmospheric_rain(mm/s) surface_runoff(mm/s) subsurface_runoff(mm/s) infiltration(mm/s) interception(mm/s) ground_evaporation(mm/s) vegetation_evaporation(mm/s) vegetation_transpiration(mm/s) heat_flux_into_soil(W/m^2)
4.62963e-04 1.06760e-04 9.25359e-05 1.83144e-04 1.04452e-04 2.52715e-06 2.98074e-05 1.28753e-05 -2.27672e-01
2.08333e-05 3.94755e-06 8.42325e-05 1.15752e-04 4.70132e-06 3.08343e-06 4.70132e-06 2.33660e-05 1.10542e+00
1.62037e-05 3.05534e-06 8.01329e-05 3.40059e-05 3.65735e-06 3.31681e-06 3.65735e-06 2.37576e-05 -3.22727e-01
9.25926e-05 1.78642e-05 7.90042e-05 5.76359e-05 2.09035e-05 3.11441e-06 1.90840e-05 1.67991e-05 -7.38554e-01
8.10185e-05 1.63727e-05 7.70496e-05 4.88540e-05 1.82945e-05 3.09426e-06 1.33162e-05 1.65004e-05 -1.66589e+00
1.85185e-05 3.46396e-06 7.39222e-05 8.24531e-06 4.18245e-06 2.64111e-06 4.29194e-06 2.24645e-05 1.83048e+00
3.70370e-05 6.88422e-06 7.01057e-05 1.92084e-05 8.36665e-06 2.56690e-06 8.36558e-06 1.87509e-05 1.00830e+00
1.82870e-04 3.88743e-05 6.57262e-05 1.19244e-04 4.13189e-05 2.37797e-06 1.97911e-05 1.17993e-05 -1.50703e-01
4.53704e-04 1.05152e-04 6.12577e-05 1.54926e-04 1.02534e-04 2.48264e-06 9.37808e-06 1.89020e-05 3.92677e-01
4.62963e-05 8.44832e-06 5.80930e-05 1.61945e-04 1.04648e-05 2.45465e-06 1.04391e-05 1.60287e-05 5.42019e-01
3.14815e-04 7.21136e-05 5.86716e-05 2.37640e-04 7.11753e-05 2.91840e-06 8.52598e-06 2.38435e-05 -1.12578e+00
1.38889e-05 2.55835e-06 6.59471e-05 3.87483e-05 3.14073e-06 2.59690e-06 3.14073e-06 1.79273e-05 -1.19811e+00
8.33333e-05 1.64628e-05 7.52476e-05 5.50392e-05 1.88482e-05 2.81393e-06 1.53158e-05 1.64782e-05 -2.04535e+00
0.00000e+00 0.00000e+00 7.96121e-05 -1.68647e-06 0.00000e+00 2.55040e-06 0.00000e+00 2.42117e-05 2.91287e+00
